type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/id,properties/title,properties/description,properties/face,properties/icon/url,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y
Feature,Point,26.1433,44.4626,21478465,Bloc 26,,East,//www.hartablocuri.ro/i/s28.png,16,16,0,0,8,8
Feature,Point,26.1439,44.4623,21478466,Bloc 29,,East,//www.hartablocuri.ro/i/s28.png,16,16,0,0,8,8
Feature,Point,26.1446,44.4628,21478467,Bloc 30A,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.145,44.46285,21478468,Bloc 30B,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.14525,44.46325,21478469,Bloc 31,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.14585,44.46335,21478470,Bloc 31A,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1461,44.4637,21478471,Bloc 32,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1467,44.4638,21478472,Bloc 32A,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.14695,44.4641,21478473,Bloc 33,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.14755,44.4642,21478474,Bloc 33A,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.14765,44.46455,21478475,Bloc 34,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.14805,44.46485,21478476,Bloc 34A,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.1464,44.4649,21478477,Bloc 35,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
Feature,Point,26.14705,44.4649,21478478,Bloc 36,,East,//www.hartablocuri.ro/i/s28.png,19,19,0,0,9.5,9.5
